                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9356,                  4.834,                 4.2634,                      0,                      0,                      0,                      0,                 5.1201,                  4.588,                 4.1596,                3.5e-05,                3.5e-05,                3.5e-05
                      2,                 4.8923,                 4.7668,                 4.2427,                      0,                      0,                      0,                      0,                 5.1082,                  4.581,                  4.159,             7.2525e-05,             7.2525e-05,             7.2525e-05
                      3,                 4.8257,                 4.6491,                 4.1845,                      0,                      0,                      0,                      0,                 5.0911,                 4.5712,                 4.1583,             0.00010741,             0.00010741,             0.00010741
                      4,                 4.7556,                 4.5047,                 4.1389,                      0,                      0,                      0,                      0,                 5.0646,                 4.5587,                 4.1587,             0.00013966,             0.00013966,             0.00013966
                      5,                 4.6942,                 4.2509,                 4.0465,                      0,                      0,                      0,                      0,                 5.0337,                 4.5481,                 4.1629,             0.00016926,             0.00016926,             0.00016926
                      6,                 4.7593,                 3.9998,                 3.9417,                      0,                      0,                      0,                      0,                 4.9913,                 4.5211,                 4.1671,             0.00019623,             0.00019623,             0.00019623
                      7,                 4.6912,                 3.8949,                 3.8529,                0.00568,                 0.0625,                0.03109,                0.01559,                 4.9673,                 4.5018,                 4.1707,             0.00022055,             0.00022055,             0.00022055
                      8,                 4.6019,                 3.7177,                 3.7861,                 0.0024,                 0.0625,                0.03109,                0.01587,                 4.9607,                 4.4731,                 4.1728,             0.00024223,             0.00024223,             0.00024223
                      9,                 4.5271,                 3.5793,                 3.7119,                0.00179,                 0.0625,                0.03109,                0.01615,                 4.8956,                 4.3417,                 4.1449,             0.00026128,             0.00026128,             0.00026128
                     10,                 4.4278,                 3.4253,                  3.619,                0.00182,                 0.0625,                0.03109,                0.01592,                 4.8973,                 4.3377,                 4.1408,             0.00027769,             0.00027769,             0.00027769
                     11,                 4.3467,                  3.265,                 3.5182,                0.00228,                 0.0625,                0.02798,                0.01395,                 5.0114,                 4.4464,                 4.1741,             0.00029145,             0.00029145,             0.00029145
                     12,                 4.3365,                 3.2745,                 3.4637,                0.00156,                 0.0625,                0.05079,                0.01595,                  4.862,                 4.1635,                 4.1352,             0.00030258,             0.00030258,             0.00030258
                     13,                 4.2417,                 3.1237,                 3.3509,                0.00164,                 0.0625,                0.04676,                0.01511,                 4.7837,                 4.3686,                 4.1333,               0.000302,               0.000302,               0.000302
                     14,                 4.2266,                 3.1273,                 3.3298,                0.00237,                 0.0625,                  0.036,                0.01526,                 4.9339,                 4.6514,                 4.2024,              0.0002855,              0.0002855,              0.0002855
                     15,                  4.209,                 3.1566,                 3.2532,                0.00237,                 0.0625,                  0.036,                0.01526,                 5.0534,                 4.8585,                 4.2944,               0.000269,               0.000269,               0.000269
                     16,                 4.0427,                  2.993,                 3.1864,                0.00237,                 0.0625,                  0.036,                0.01526,                 5.0035,                 4.8855,                 4.2963,              0.0002525,              0.0002525,              0.0002525
                     17,                 4.1387,                 3.0193,                 3.1471,                0.01174,                0.05269,                0.04341,                0.01645,                 4.7246,                 4.6998,                 4.1723,               0.000236,               0.000236,               0.000236
                     18,                  3.981,                  2.878,                  3.106,                0.00223,                 0.0625,                0.04938,                0.01779,                 4.4115,                 4.2727,                 3.9867,              0.0002195,              0.0002195,              0.0002195
                     19,                  3.901,                 2.7119,                 3.0282,                0.13038,                 0.0625,                0.05171,                0.02444,                 4.6168,                 3.9119,                 3.4116,               0.000203,               0.000203,               0.000203
                     20,                 3.9777,                 2.7768,                 3.0499,                 0.1485,                0.06678,                0.07157,                0.04167,                 4.3445,                  3.654,                 3.0045,              0.0001865,              0.0001865,              0.0001865
                     21,                 4.2307,                 3.0937,                 2.8083,                0.29145,                0.15583,                0.11173,                0.06997,                   4.11,                 4.2837,                 2.6986,                0.00017,                0.00017,                0.00017
                     22,                 4.2046,                  2.928,                 2.7493,                0.26173,                0.20295,                0.13728,                 0.0665,                 3.8152,                 7.5524,                 2.5026,              0.0001535,              0.0001535,              0.0001535
                     23,                 4.0785,                 2.7776,                 2.6232,                0.12368,                0.16182,                0.09397,                 0.0461,                   3.67,                 10.075,                  2.408,               0.000137,               0.000137,               0.000137
                     24,                 4.1234,                 2.7476,                 2.6127,                0.09637,                 0.1704,                0.09102,                 0.0478,                 3.6206,                 7.8395,                 2.3331,              0.0001205,              0.0001205,              0.0001205
                     25,                 4.0251,                 2.7505,                 2.5823,                0.10897,                 0.2306,                0.12503,                0.06818,                 3.5928,                 5.3453,                 2.2703,               0.000104,               0.000104,               0.000104
                     26,                 3.9307,                  2.697,                 2.5531,                0.11384,                0.25683,                 0.1463,                0.07496,                 3.5632,                 3.8832,                  2.223,               8.75e-05,               8.75e-05,               8.75e-05
                     27,                  3.877,                  2.657,                 2.4995,                0.21686,                0.19977,                0.14665,                0.07691,                 3.5174,                 3.1042,                 2.2013,                7.1e-05,                7.1e-05,                7.1e-05
                     28,                 3.8891,                 2.6542,                 2.4902,                0.23633,                0.18513,                0.14944,                0.07873,                 3.4956,                 2.7994,                 2.1947,               5.45e-05,               5.45e-05,               5.45e-05
                     29,                 3.8561,                  2.622,                 2.4651,                0.27773,                0.17039,                0.14683,                0.07822,                 3.5083,                 2.6255,                 2.2053,                3.8e-05,                3.8e-05,                3.8e-05
                     30,                 3.8066,                  2.617,                 2.4435,                0.27315,                0.15319,                0.14469,                  0.078,                 3.5411,                 2.5194,                 2.2243,               2.15e-05,               2.15e-05,               2.15e-05
