                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2239,                 4.6506,                 1.9264,                 0.0201,                0.07612,                0.03714,                0.02133,                 3.1202,                 4.6262,                  1.655,                3.5e-05,                3.5e-05,                3.5e-05
                      2,                 2.5035,                 3.1854,                 1.5012,                0.64239,                0.15597,                0.17288,                0.11771,                 2.4395,                 3.0239,                 1.4156,             7.2525e-05,             7.2525e-05,             7.2525e-05
                      3,                 2.0877,                 1.9924,                 1.3089,                0.29999,                0.26867,                0.25307,                0.16097,                 2.0696,                 3.1778,                 1.2431,             0.00010741,             0.00010741,             0.00010741
                      4,                 1.9534,                  1.662,                 1.2298,                0.30495,                 0.2784,                0.26093,                0.16646,                 1.8942,                 4.2946,                 1.1609,             0.00013966,             0.00013966,             0.00013966
                      5,                 1.7729,                 1.4041,                 1.1581,                0.45965,                0.45661,                0.43648,                0.27641,                 1.5939,                 3.2549,                 1.0893,             0.00016926,             0.00016926,             0.00016926
                      6,                 1.6398,                 1.2658,                 1.1185,                0.50507,                0.68972,                 0.6096,                0.36435,                 1.6302,                 2.1452,                 1.0923,             0.00019623,             0.00019623,             0.00019623
                      7,                  1.532,                 1.1508,                 1.0837,                0.57304,                0.79486,                0.73634,                0.45367,                 1.4824,                 1.4712,                 1.0406,             0.00022055,             0.00022055,             0.00022055
                      8,                 1.4861,                 1.0676,                 1.0677,                0.69125,                0.73194,                0.74752,                0.47388,                 1.4759,                 1.1512,                 1.0189,             0.00024223,             0.00024223,             0.00024223
                      9,                 1.4219,                 1.0164,                  1.048,                0.67602,                0.76886,                0.76306,                0.50074,                 1.3425,                 1.0275,                 0.9933,             0.00026128,             0.00026128,             0.00026128
                     10,                 1.3892,                0.94752,                 1.0344,                0.71225,                 0.7108,                0.76013,                0.48796,                 1.3923,                 1.0124,                0.99759,             0.00027769,             0.00027769,             0.00027769
                     11,                 1.3613,                0.91909,                 1.0264,                0.81674,                0.76416,                0.82802,                0.54889,                  1.266,                 0.8876,                0.96396,             0.00029145,             0.00029145,             0.00029145
                     12,                 1.2645,                0.86097,                 1.0151,                0.78834,                0.81801,                0.87577,                 0.5835,                 1.2242,                0.82761,                0.95786,             0.00030258,             0.00030258,             0.00030258
                     13,                 1.2779,                0.82759,                 1.0099,                0.82065,                0.84645,                0.89012,                0.58757,                  1.255,                0.78755,                0.95514,               0.000302,               0.000302,               0.000302
                     14,                 1.2839,                0.82458,                 1.0151,                0.86313,                0.82881,                0.89221,                0.60411,                  1.281,                0.77347,                0.95737,              0.0002855,              0.0002855,              0.0002855
                     15,                 1.2211,                0.79657,                0.99866,                0.82964,                0.86421,                0.88753,                  0.623,                  1.165,                0.72489,                0.94888,               0.000269,               0.000269,               0.000269
                     16,                 1.2486,                 0.8049,                0.99741,                0.84662,                0.86847,                0.89587,                0.62776,                 1.2009,                0.72575,                0.95008,              0.0002525,              0.0002525,              0.0002525
                     17,                  1.186,                0.75944,                0.99072,                0.83272,                0.85787,                0.90413,                0.62294,                 1.2159,                 0.7084,                0.94567,               0.000236,               0.000236,               0.000236
                     18,                 1.1553,                0.74299,                0.98702,                0.82811,                0.86505,                 0.9034,                0.63674,                 1.1403,                0.67958,                0.94268,              0.0002195,              0.0002195,              0.0002195
                     19,                 1.1798,                0.74971,                0.98392,                0.84409,                0.87038,                0.90753,                0.63831,                 1.1565,                0.67819,                0.94741,               0.000203,               0.000203,               0.000203
                     20,                 1.1487,                0.72396,                0.98839,                0.83281,                0.91968,                0.91219,                0.66321,                 1.0654,                 0.6381,                0.92964,              0.0001865,              0.0001865,              0.0001865
                     21,                 1.3024,                0.90197,                0.99709,                0.84493,                0.91634,                0.92241,                 0.6363,                 1.1419,                 0.6423,                0.93098,                0.00017,                0.00017,                0.00017
                     22,                 1.2697,                0.80648,                0.97778,                0.86902,                0.89521,                0.92556,                0.65006,                 1.1585,                0.68623,                0.93862,              0.0001535,              0.0001535,              0.0001535
                     23,                 1.2712,                0.81337,                0.97471,                0.87518,                0.89395,                0.92797,                 0.6875,                 1.1104,                0.67056,                0.93564,               0.000137,               0.000137,               0.000137
                     24,                 1.2491,                0.77481,                0.97258,                0.85861,                  0.913,                0.92761,                0.68983,                 1.1145,                0.63857,                0.91871,              0.0001205,              0.0001205,              0.0001205
                     25,                 1.2388,                0.74745,                0.96516,                0.86049,                0.92046,                0.93871,                 0.6923,                 1.0826,                0.62623,                0.91019,               0.000104,               0.000104,               0.000104
                     26,                 1.1925,                0.72853,                0.96359,                0.88531,                0.92081,                0.94058,                0.68743,                 1.0805,                0.62994,                0.91211,               8.75e-05,               8.75e-05,               8.75e-05
                     27,                 1.1425,                0.69287,                0.95342,                 0.8841,                0.90904,                0.94245,                0.67857,                 1.0963,                0.64238,                0.91423,                7.1e-05,                7.1e-05,                7.1e-05
                     28,                   1.16,                0.71066,                 0.9484,                0.89231,                0.91731,                0.94798,                0.68089,                 1.0984,                0.63599,                0.91305,               5.45e-05,               5.45e-05,               5.45e-05
                     29,                 1.1417,                0.69973,                0.95417,                0.89508,                0.94247,                0.95259,                0.68813,                 1.1037,                0.62754,                0.91141,                3.8e-05,                3.8e-05,                3.8e-05
                     30,                 1.1409,                 0.6865,                0.95026,                0.88465,                0.93939,                 0.9528,                0.69897,                 1.0808,                0.61736,                0.90786,               2.15e-05,               2.15e-05,               2.15e-05
