image_id,class,xmin,ymin,xmax,ymax
Image1,Icon,13,13,44,44
Image1,Icon,1693,11,1724,46
Image1,Icon,1631,15,1665,46
Image1,Icon,1751,15,1786,46
Image1,Icon,1866,6,1913,55
Image1,Icon,1811,15,1844,46
Image1,InputField,540,11,1121,50
Image1,TitleBar,0,0,1917,57
Image1,Icon,545,15,578,46
Image1,TextLabel,66,17,199,48
Image1,TextLabel,232,17,279,46
Image1,Icon,13,68,42,101
Image1,Icon,13,117,39,148
Image1,Icon,13,161,42,195
Image1,Icon,13,206,37,237
Image1,Icon,13,554,39,591
Image1,Icon,8,600,42,640
Image1,Icon,13,700,42,738
Image1,Icon,11,509,42,549
Image1,Icon,11,470,42,503
Image1,Icon,203,161,237,192
Image1,Icon,203,252,237,283
Image1,Icon,203,203,237,235
Image1,Icon,206,310,239,341
Image1,Icon,206,365,239,396
Image1,Icon,206,753,239,784
Image1,Icon,203,809,237,840
Image1,Icon,203,423,237,454
Image1,Icon,206,654,239,685
Image1,MenuItem,6,113,195,152
Image1,MenuItem,6,157,195,197
Image1,MenuItem,6,201,195,241
Image1,MenuItem,6,252,195,292
Image1,MenuItem,6,308,195,348
Image1,MenuItem,4,363,192,403
Image1,MenuItem,2,416,190,456
Image1,SubmenuItem,4,467,203,507
Image1,SubmenuItem,4,509,203,549
Image1,SubmenuItem,4,552,203,591
Image1,SubmenuItem,4,600,203,640
Image1,MenuItem,4,651,192,691
Image1,MenuItem,8,751,197,791
Image1,MenuItem,6,806,195,846
Image1,SubmenuItem,6,700,206,740
Image1,Menu,0,57,248,939
Image1,InputField,1656,124,1880,168
Image1,Icon,1760,897,1791,931
Image1,Icon,1864,897,1888,931
Image1,Icon,1722,897,1755,931
Image1,TextLabel,279,902,392,928
Image1,TextLabel,1800,904,1853,928
Image1,Icon,443,133,476,164
Image1,Icon,414,195,432,223
Image1,Icon,591,195,609,223
Image1,Icon,778,195,795,223
Image1,Icon,946,195,964,223
Image1,Icon,1168,195,1186,223
Image1,Icon,1609,192,1627,221
Image1,Icon,1813,192,1831,221
Image1,Icon,261,68,292,101
Image1,Icon,458,68,489,104
Image1,Icon,1339,130,1372,166
Image1,Icon,707,70,742,101
Image1,Icon,554,68,580,99
Image1,Icon,1505,126,1534,164
Image1,Icon,263,188,305,228
Image1,Icon,829,64,855,101
Image1,Icon,312,68,341,101
Image1,Icon,399,192,416,223
Image1,Icon,1356,195,1374,223
Image1,Icon,1478,243,1509,281
Image1,Icon,1478,299,1509,336
Image1,Icon,1478,350,1509,387
Image1,Icon,1476,401,1507,438
Image1,Icon,1478,454,1509,492
Image1,Icon,1478,509,1509,547
Image1,Icon,1478,558,1509,596
Image1,Icon,1478,611,1509,649
Image1,Icon,1476,662,1507,700
Image1,Icon,1478,771,1509,809
Image1,Icon,1478,822,1509,860
Image1,Icon,1478,716,1509,755
Image1,Icon,1671,246,1700,281
Image1,Icon,1671,294,1700,330
Image1,Icon,1673,348,1702,383
Image1,Icon,1673,401,1702,436
Image1,Icon,1671,454,1700,489
Image1,Icon,1673,507,1702,543
Image1,Icon,1671,558,1700,594
Image1,Icon,1671,611,1700,647
Image1,Icon,1671,665,1700,700
Image1,Icon,1673,718,1702,753
Image1,Icon,1673,769,1702,804
Image1,Icon,1671,826,1700,862
Image1,Button,301,57,441,110
Image1,Button,452,59,538,110
Image1,Button,547,57,693,110
Image1,Button,700,57,815,110
Image1,Button,822,59,1008,110
Image1,Button,1330,121,1487,172
Image1,Button,1498,121,1631,172
Image1,TextLabel,281,124,445,168
Image1,TextLabel,319,399,432,438
Image1,TextLabel,317,345,430,385
Image1,TextLabel,317,297,430,336
Image1,TextLabel,317,246,430,285
Image1,TextLabel,319,452,432,492
Image1,TextLabel,319,505,432,545
Image1,TextLabel,319,558,432,598
Image1,TextLabel,317,609,438,649
Image1,TextLabel,317,662,441,702
Image1,TextLabel,317,716,430,755
