                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9185,                 4.6521,                 1.7613,                 0.0625,                0.00052,                0.03151,                0.03151,                    nan,                    nan,                    nan,                0.00015,                0.00015,                0.00015
                      2,                 2.2541,                 4.3625,                 1.3707,                0.01431,                0.00155,                0.00808,                0.00603,                    nan,                    nan,                    nan,             0.00029494,             0.00029494,             0.00029494
                      3,                 2.0311,                 3.9804,                 1.2755,                 0.0522,                0.00319,                0.02733,                 0.0169,                    nan,                    nan,                    nan,             0.00042964,             0.00042964,             0.00042964
                      4,                 2.0527,                 3.7208,                 1.2598,                0.04647,                0.00244,                0.02433,                0.01567,                    nan,                    nan,                    nan,              0.0004505,              0.0004505,              0.0004505
                      5,                 1.9908,                 3.4779,                 1.2258,                0.10526,                0.00274,                0.05392,                 0.0347,                    nan,                    nan,                    nan,               0.000434,               0.000434,               0.000434
                      6,                 1.9286,                 3.2283,                 1.1904,                0.18658,                0.00292,                0.09507,                0.07066,                    nan,                    nan,                    nan,              0.0004175,              0.0004175,              0.0004175
                      7,                 1.8542,                 3.0706,                  1.167,                0.21234,                0.00373,                0.10821,                0.07843,                    nan,                    nan,                    nan,               0.000401,               0.000401,               0.000401
                      8,                 1.7915,                 2.8462,                 1.1397,                0.25993,                0.00468,                0.13235,                 0.0838,                    nan,                    nan,                    nan,              0.0003845,              0.0003845,              0.0003845
                      9,                   1.75,                 2.6435,                 1.1239,                0.31012,                0.00505,                0.15772,                0.12508,                    nan,                    nan,                    nan,               0.000368,               0.000368,               0.000368
                     10,                  1.759,                 2.5169,                 1.1151,                0.28414,                0.00523,                0.14512,                0.10883,                    nan,                    nan,                    nan,              0.0003515,              0.0003515,              0.0003515
                     11,                 1.7088,                 2.4078,                 1.1135,                0.26728,                0.00522,                 0.1367,                0.09951,                    nan,                    nan,                    nan,               0.000335,               0.000335,               0.000335
                     12,                 1.6544,                 2.2614,                 1.0992,                0.27905,                0.00524,                0.14265,                0.10829,                    nan,                    nan,                    nan,              0.0003185,              0.0003185,              0.0003185
                     13,                 1.6369,                  2.172,                 1.0868,                0.31351,                0.00529,                0.15976,                 0.1259,                    nan,                    nan,                    nan,               0.000302,               0.000302,               0.000302
                     14,                 1.6531,                 2.0734,                 1.0929,                0.22264,                0.00521,                0.11426,                0.08219,                    nan,                    nan,                    nan,              0.0002855,              0.0002855,              0.0002855
                     15,                  1.635,                 2.0545,                 1.0818,                0.22271,                0.00533,                0.11447,                0.08036,                    nan,                    nan,                    nan,               0.000269,               0.000269,               0.000269
                     16,                 1.6682,                 2.0086,                 1.0851,                0.25898,                0.00533,                0.13257,                0.10059,                    nan,                    nan,                    nan,              0.0002525,              0.0002525,              0.0002525
                     17,                 1.5916,                 1.9895,                 1.0711,                0.26307,                0.00533,                0.13471,                0.10233,                    nan,                    nan,                    nan,               0.000236,               0.000236,               0.000236
                     18,                 1.5499,                 1.9082,                 1.0658,                0.22841,                0.00533,                0.11738,                0.08804,                    nan,                    nan,                    nan,              0.0002195,              0.0002195,              0.0002195
                     19,                 1.5603,                  1.892,                 1.0567,                0.32527,                 0.0053,                 0.1279,                0.09832,                    nan,                    nan,                    nan,               0.000203,               0.000203,               0.000203
                     20,                 1.5157,                 1.7774,                 1.0588,                0.21358,                0.00548,                0.11006,                0.07792,                    nan,                    nan,                    nan,              0.0001865,              0.0001865,              0.0001865
                     21,                 1.6056,                 1.5917,                 1.0673,                0.26167,                0.00547,                0.13405,                0.10307,                    nan,                    nan,                    nan,                0.00017,                0.00017,                0.00017
                     22,                 1.5517,                 1.5272,                 1.0445,                0.21417,                0.00545,                0.11034,                0.08038,                    nan,                    nan,                    nan,              0.0001535,              0.0001535,              0.0001535
                     23,                 1.5281,                 1.5149,                  1.043,                0.21489,                0.00547,                0.10485,                0.07804,                    nan,                    nan,                    nan,               0.000137,               0.000137,               0.000137
                     24,                 1.5112,                  1.462,                 1.0386,                0.20976,                0.00548,                0.10812,                0.08225,                    nan,                    nan,                    nan,              0.0001205,              0.0001205,              0.0001205
                     25,                 1.5069,                 1.4566,                 1.0369,                0.19328,                0.00548,                0.09988,                0.07442,                    nan,                    nan,                    nan,               0.000104,               0.000104,               0.000104
                     26,                 1.5087,                 1.4526,                  1.042,                 0.1931,                0.00549,                0.09981,                0.07214,                    nan,                    nan,                    nan,               8.75e-05,               8.75e-05,               8.75e-05
                     27,                 1.4257,                 1.3819,                 1.0188,                0.19437,                0.00548,                0.10044,                 0.0736,                    nan,                    nan,                    nan,                7.1e-05,                7.1e-05,                7.1e-05
                     28,                 1.4574,                 1.3635,                 1.0185,                0.19178,                0.00549,                0.09915,                0.07423,                    nan,                    nan,                    nan,               5.45e-05,               5.45e-05,               5.45e-05
                     29,                 1.4651,                 1.3793,                 1.0309,                0.19191,                0.00549,                0.09921,                0.07522,                    nan,                    nan,                    nan,                3.8e-05,                3.8e-05,                3.8e-05
                     30,                 1.4234,                 1.3542,                 1.0177,                0.18957,                0.00549,                0.09805,                0.07518,                    nan,                    nan,                    nan,               2.15e-05,               2.15e-05,               2.15e-05
