                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.071,                 4.8024,                 1.7439,                      0,                      0,                      0,                      0,                 2.8965,                 4.7786,                  1.529,                3.5e-05,                3.5e-05,                3.5e-05
                      2,                 2.4341,                 4.5591,                 1.4186,                 0.0625,                0.04804,                0.05527,                 0.0372,                 2.2203,                 4.7412,                 1.2986,             6.7575e-05,             6.7575e-05,             6.7575e-05
                      3,                 2.1526,                 4.1752,                  1.271,                0.06652,                0.11932,                0.11433,                0.09298,                 2.0895,                 4.6372,                 1.2552,              9.223e-05,              9.223e-05,              9.223e-05
                      4,                 2.0697,                 3.8733,                 1.2126,                0.04276,                0.27022,                 0.1723,                0.10722,                 2.0137,                  4.485,                 1.1986,             0.00010896,             0.00010896,             0.00010896
                      5,                 1.9955,                 3.5152,                 1.1896,                0.05057,                 0.3354,                0.18561,                0.12173,                 1.9239,                 4.2349,                 1.1462,             0.00011778,             0.00011778,             0.00011778
                      6,                 1.8882,                 3.2191,                 1.1587,                0.06008,                0.36773,                0.19266,                 0.1194,                 1.8214,                  3.959,                 1.1319,             0.00011867,             0.00011867,             0.00011867
                      7,                 1.8228,                  3.033,                 1.1269,                 0.0708,                0.41274,                0.24376,                0.16383,                 1.7784,                 3.7791,                 1.0972,             0.00011165,             0.00011165,             0.00011165
                      8,                 1.7945,                 2.9267,                  1.116,                0.09316,                0.47604,                0.29508,                0.19803,                 1.7241,                 3.5898,                 1.0725,             9.6705e-05,             9.6705e-05,             9.6705e-05
                      9,                 1.7419,                 2.7833,                 1.1001,                0.12081,                0.53806,                0.32387,                0.21306,                 1.6782,                  3.404,                 1.0575,              7.384e-05,              7.384e-05,              7.384e-05
                     10,                 1.7308,                 2.6865,                 1.0996,                0.13179,                0.55721,                0.34603,                0.22745,                 1.6475,                 3.2992,                 1.0512,             4.3055e-05,             4.3055e-05,             4.3055e-05
